                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.59338,                 1.0404,                 1.1512,                0.90501,                 0.4099,                0.81594,                 0.5294,                 1.8327,                 1.5607,                 1.4978,             3.3116e-05,             3.3116e-05,             3.3116e-05
                     33,                 0.9486,                  1.739,                 1.4139,                0.90323,                0.41037,                0.81614,                0.52837,                 1.8391,                 1.6073,                 1.5121,             3.4059e-05,             3.4059e-05,             3.4059e-05
                     34,                0.86204,                  2.029,                 1.1902,                0.90323,                0.41037,                0.81614,                0.52837,                 1.8391,                 1.6073,                 1.5121,             3.4993e-05,             3.4993e-05,             3.4993e-05
                     35,                0.81456,                 1.3336,                 1.2453,                0.91037,                0.41076,                0.81636,                0.49454,                 1.8654,                 1.6496,                 1.5324,              3.592e-05,              3.592e-05,              3.592e-05
                     36,                0.96168,                 1.2792,                 1.3532,                0.91037,                0.41076,                0.81636,                0.49454,                 1.8654,                 1.6496,                 1.5324,             3.6839e-05,             3.6839e-05,             3.6839e-05
                     37,                 1.2367,                 2.1901,                 1.6306,                0.90678,                0.41025,                0.73391,                0.41091,                 1.8819,                 1.6812,                 1.5459,             3.7751e-05,             3.7751e-05,             3.7751e-05
                     38,                0.79403,                 1.1788,                 1.1679,                0.90678,                0.41025,                0.73391,                0.41091,                 1.8819,                 1.6812,                 1.5459,             3.8654e-05,             3.8654e-05,             3.8654e-05
                     39,                0.84619,                 1.2353,                  1.274,                0.90486,                0.41045,                0.73276,                0.41566,                 1.8779,                  1.703,                 1.5546,             3.9549e-05,             3.9549e-05,             3.9549e-05
                     40,                 1.0387,                  1.175,                 1.4607,                0.90486,                0.41045,                0.73276,                0.41566,                 1.8779,                  1.703,                 1.5546,             4.0437e-05,             4.0437e-05,             4.0437e-05
                     41,                0.88599,                 1.1247,                 1.2654,                 0.9006,                0.41157,                0.73629,                0.41509,                 1.8903,                 1.7346,                 1.5608,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     42,                0.96408,                  1.361,                 1.4326,                 0.9006,                0.41157,                0.73629,                0.41509,                 1.8903,                 1.7346,                 1.5608,             4.2189e-05,             4.2189e-05,             4.2189e-05
                     43,                 1.0311,                 2.1123,                 1.3722,                0.89781,                0.41114,                0.73873,                0.41753,                 1.8966,                  1.732,                  1.559,             4.3053e-05,             4.3053e-05,             4.3053e-05
                     44,                 1.1057,                 1.7495,                 1.4664,                0.89781,                0.41114,                0.73873,                0.41753,                 1.8966,                  1.732,                  1.559,             4.3909e-05,             4.3909e-05,             4.3909e-05
                     45,                0.81744,                 1.4786,                 1.3137,                0.89499,                0.41151,                0.73719,                0.40478,                 1.8884,                 1.7391,                 1.5528,             4.4757e-05,             4.4757e-05,             4.4757e-05
                     46,                0.71563,                  1.119,                 1.2852,                0.89499,                0.41151,                0.73719,                0.40478,                 1.8884,                 1.7391,                 1.5528,             4.5598e-05,             4.5598e-05,             4.5598e-05
                     47,                0.93584,                 1.0119,                 1.3688,                0.89094,                0.41228,                0.71304,                0.38669,                  1.891,                 1.7606,                 1.5527,              4.643e-05,              4.643e-05,              4.643e-05
                     48,                  1.216,                 1.6577,                 1.6624,                0.89094,                0.41228,                0.71304,                0.38669,                  1.891,                 1.7606,                 1.5527,             4.7255e-05,             4.7255e-05,             4.7255e-05
                     49,                 1.1694,                  1.441,                 1.5371,                0.88813,                0.41256,                0.71663,                0.39595,                 1.8917,                   1.79,                 1.5461,             4.8072e-05,             4.8072e-05,             4.8072e-05
                     50,                0.69755,                0.97415,                 1.1383,                0.88813,                0.41256,                0.71663,                0.39595,                 1.8917,                   1.79,                 1.5461,             4.8881e-05,             4.8881e-05,             4.8881e-05
                     51,                 0.8195,                 0.9141,                 1.2884,                0.88591,                0.41174,                0.71155,                 0.3997,                 1.8638,                 1.8115,                 1.5344,             4.9682e-05,             4.9682e-05,             4.9682e-05
                     52,                0.47355,                0.86387,                 1.0561,                0.88591,                0.41174,                0.71155,                 0.3997,                 1.8638,                 1.8115,                 1.5344,             5.0476e-05,             5.0476e-05,             5.0476e-05
                     53,                0.98113,                 1.4079,                 1.2837,                0.88591,                0.41174,                0.71155,                 0.3997,                 1.8638,                 1.8115,                 1.5344,             5.1261e-05,             5.1261e-05,             5.1261e-05
                     54,                 1.0689,                 1.8994,                  1.382,                 0.8837,                0.40983,                0.68496,                0.38057,                 1.8495,                 1.8325,                 1.5353,             5.2039e-05,             5.2039e-05,             5.2039e-05
                     55,                  0.761,                0.93502,                 1.1983,                 0.8837,                0.40983,                0.68496,                0.38057,                 1.8495,                 1.8325,                 1.5353,             5.2809e-05,             5.2809e-05,             5.2809e-05
                     56,                0.94459,                 1.2437,                 1.4034,                 0.8837,                0.40983,                0.68496,                0.38057,                 1.8495,                 1.8325,                 1.5353,             5.3571e-05,             5.3571e-05,             5.3571e-05
                     57,                 1.0912,                  1.278,                 1.2828,                0.88211,                0.40869,                0.68334,                0.37631,                 1.8381,                 1.8385,                 1.5241,             5.4325e-05,             5.4325e-05,             5.4325e-05
